RoomsSquareMetersPrice;Address;Title;TitleAndDescription
1.5 Zimmer, 28m², CHF 2’430.– ;Ulmenstrasse 7, 8636 Wald;Naturnah und modern;"Naturnah und modern Per 01. Mai 2024 vermieten wir diese 1.5-Zimmer-Wohnung in der Überbauung ""am Brugglenwald"".Es erwartet Sie: • ca. 28 m2 Wohnfläche • 2 Bäder (1x mit Dusche / 1x en Suite mit Badewanne) • moderner Küchenausbau mit Induktionsherd • eigene Waschmaschine und Tumbler in der Wohnung • Eichenparkett im Wohn-/Essbereich, Korridoren und Schlafzimmern • kontrollierte Wohnungslüftung • im Entreèbereich: Einbauschränke mit Garderobe und Putzschrank • separates Kellerabteil Ein Einstellplatz in der Tiefgarage kann bei Bedarf für CHF 140.- dazugemietet werden.Ein Bastelraum kann bei Bedarf dazugemietet werden.Konditionen:Mietzins netto pro Monat CHF 1'720.00Nebenkosten akonto pro Monat CHF 230.00Mietzins brutto pro Monat CHF 1'950.00Dank des grosszügig gestalteten Aussenbereichs bietet die Liegenschaft viel Raum für Begegnungen und lädt zum Verweilen ein. Ausserdem bietet die Überbauung zentrale Verbindungen zu Bahnhof, Schulen und ins Ortsinnere. Die Landschaft lädt zu einer unberührten Natur ein und verlockt auf Sport und lange Spaziergänge, sowie Bergbadi und Hallenbad, wo Sie Ihre Freizeit sehr geniessen können.Haben wir Ihr Interesse geweckt? Für allfällige Fragen oder nähere Informationen stehen wir Ihnen gerne jederzeit unter +41 44 250 52 67 zur Verfügung.Bei den Fotos kann es sich um Referenzbilder von einer anderen Wohnung in der gleichen Liegenschaft handeln. Der Ausbaustandard ist derselbe. "
2.5 Zimmer, 180m², CHF 3’680.– ;Blumenstrasse 7, 8951 Fahrweid;2.5-Zimmerwohnung in Fahrweid mit Einstellplatzoption;2.5-Zimmerwohnung in Fahrweid mit Einstellplatzoption In der begehrten Wohngegend an der Blumenstrasse 7 präsentieren wir Ihnen diese geräumige 2.5-Zimmerwohnung. Die Wohnung besticht durch ihre Helligkeit und modernen Akzente. Sie verfügt über ein grosszügiges Wohnzimmer, drei gemütliche Schlafzimmer sowie eine voll ausgestattete Küche. Die Fensterfronten bieten einen atemberaubenden Blick auf die Umgebung und sorgen für eine lichtdurchflutete Atmosphäre.Die gesamte Wohnung ist mit hochwertigem Parkett ausgestattet, was nicht nur für ein stilvolles Ambiente sorgt, sondern auch pflegeleicht ist. Zahlreiche Einbauschränke bieten ausreichend Stauraum, um Ihre persönlichen Dinge ordentlich zu verstauen und den Wohnraum aufgeräumt zu halten.Neben all diesen Vorzügen verfügt die Wohnung über einen eigenen Wäscheraum, um den Haushaltsaufgaben stressfrei nachgehen zu können. Ein Kellerabteil bietet zusätzlichen Stauraum für saisonale Gegenstände oder persönliche Habseligkeiten.Die Lage dieser Wohnung ist ideal: Geschäfte des täglichen Bedarfs, öffentliche Verkehrsmittel und Schulen sind in unmittelbarer Nähe. Geniessen Sie die Vorzüge dieser exzellent gelegenen Wohnung und vereinbaren Sie noch heute einen Besichtigungstermin.Eckdaten im Überblick: • Adresse: Blumenstrasse 7, 8951 Fahrweid • Zimmer: 2.5 • Einbauschränke: ausreichend Stauraum • Einstellplatz (optional): CHF 150.00/Monat Für zusätzlichen Komfort besteht die Möglichkeit, einen Einstellplatz für Ihr Fahrzeug für CHF 150.00/Monat anzumieten.Kontaktieren Sie uns um weitere Informationen zu erhalten oder einen Besichtigungstermin zu vereinbaren.Wir freuen uns darauf, Ihnen diese attraktive Wohnung persönlich zu zeigen! 
1.5 Zimmer, 20m², CHF 2’940.– ;Schaffhauserstrasse 123, 8302 Kloten;Wohnung in Kloten;Wohnung in Kloten Sehr schöne helle Wohnung! Sehr zentral gelegen, Bus und S-Bahn alles in 5 Minuten zu erreichen .Balkon über die ganze Länge nicht einsehbar zum Teil überdacht.Neuer hochwertiger Standard mit allen Elektrogeräten-, Waschmaschine und Trockner.Sehr ruhig. In Flugplatznähe( 5 min mit Bus ), aber keine Geräusche zu hören.Begrünte Innenhof. 
1.5 Zimmer, 23m², CHF 3’080.– ;Regensdorferstrasse 72, 8049 Zürich;Ihr neuer Lebensmittelpunkt über den Dächern der City;Ihr neuer Lebensmittelpunkt über den Dächern der City Ihre Wohlfühloase liegt uns am Herzen!Durch die bevorzugte Lage in Zürich-Höngg sind Sie einerseits optimal an die Stadt angebunden und genießen anderseits einen Rückzugsort zum Wohlfühlen, in einem ruhigen Quartier und an erhöhter Position. Diese exklusive Erdgeschoss Wohnung bietet Ihnen folgende Vorzüge:- Wohn- und Schlafzimmer (zusätzlicher. Hobbyraum) mit Parkettboden-Nasszellen Plattenboden- Küche mit Kochinsel und zeitgemässen Haushaltsgeräten- Badezimmer mit Badewanne und eingebauten Unterschrankmöbel- Fussbodenheizung und kontrolliertes Lüftungssystem-integrierter Hobbyraum 11.9 m2- Waschmaschine und Tumbler im Kellerabteil-Allgemeiner Trockungsraum zur Mitbenutzung-Sitzplatz und grosszügiger Gartenanteil 29 m2-Allgemeine Dachterrasse zur Mitbenutzung mit Aussicht- Auf Wunsch können mehrere Einstellplätze à CHF 200.00 dazu gemietet werden.Haben wir Ihr Interesse geweckt? Melden Sie sich über das Kontaktformular für den Besichtigungstermin an. Auf Ihre Kontaktaufnahme freuen wir uns.*Bei den Fotos handelt es sich um Referenzbilder und können daher von der ausgeschriebenen Wohnung abweichen. Ebenfalls kann es sein, dass die Grundrisse nicht maßstabgetreu sind.* 
1.5 Zimmer, 20m², CHF 3’320.– ;Alderstrasse 28, 8008 Zürich;Moderne 1.5 Zimmerwohnung im Seefeld;Moderne 1.5 Zimmerwohnung im Seefeld Die modern konzipierte Wohnung im dritten Obergeschoss verfügt dank raumhohen Fenstern über viel Tagelicht. Einzelraumregulierung der Heizung für die Zimmer. Wärmemessung für jede Wohnung separat. Die praktische Küche sind mit hohem Komfort wie Geschirrspühler GA60KVSM mit integrierter Front, Umluftbackofen-Steamer EBGL70SP, Glaskeramik mit Induktions-Platten GK58CICN, Kühlschrank IK2065S von Electrolux ausgerüstet. Die Arbeitsplatte ist aus modernstem Keramik Neolith Pulpis. Die Rückwände sind aus Glas ACILUX Extrawhite Decor Tree. Die Küche, der Korridor und die Nasszellen sind mit modernsten energiesparenden LED-Einbauspots ausgestattet. Der Wohn- / Schlafbereich verfügt über einen hellen Eichenparkett-Boden. Der Nassraume ist mit grossformatigen Keramik-Platten ausgekleidet. Die dreifach verglasten Holz-Metall Fenster sind mit Drehkippbeschlag ausgestattet und die Beschattung und Verdunklung erfolgt mit elektrischen Lamellenstoren. Die Elektroinstallation ist grosszügig ausgelegt. Sonnerie mit Video-Gegensprechanlage und elektrischem Türöffner. Internet-Anschluss mit Glasfaser-Leitung bis in die Wohnung, Telefon und Kabelfernsehen. Einbruch- und schallhemmende Eingangstüren mit Doppelfalz-Stahlzargen. Wohnungstüren mit dreifach verriegeltem Sicherheitsschloss. Parkplatz in Tiefgarage kann dazu gemietet werden für Fr. 250.- pro Monat. 
1.5 Zimmer, CHF 3’580.– ;Sporrerpark 6, 8408 Winterthur;ERSTVERMIETUNG - Wohnen an unverbaubarer, sonniger Lage mit Aussicht!;"ERSTVERMIETUNG - Wohnen an unverbaubarer, sonniger Lage mit Aussicht! Erstbezug - Per 1. Juni 2024 vermieten wir (nebst weiteren) diese attraktive Wohnung in der Überbauung ""Sporrerpark"" im schönen Winterthur-Wülflingen. Das Neubauprojekt mit insgesamt drei Mehrfamilienhäusern bettet sich harmonisch in die umliegende Natur ein.Die im Minergie-P Standard realisierte Überbauung überzeugt durch maximale Energieeffizienz, wird mit Erdsonden-Wärmepumpen beheizt und verfügt über Photovoltaik-Anlagen. Die lichtdurchflutete Wohnung mit leicht überhöhten Räumen überzeugt mit einem attraktiven Grundriss, hohem Wohnkomfort und zwei Gartensitzplätzen. Raumhohe Fenster in Holz/ Metall schaffen einen starken Bezug zum Aussenraum. Die Wohnung verfügt über einen hochwertigen Ausbau. Die gesamte Wohnung, mit Ausnahme der Nasszellen, zeigt einen edlen, synchrongepressten Vinylboden in Eichenoptik. Die moderne Küche u.a. mit Induktions-Kochfeld und Combisteamer lässt keine Wünsche offen. Die beiden natürlich belichteten Nasszellen zeigen grossformatige Feinsteinzeug-Platten, Einbauleuchten und Regendusche. Ein Waschturm ergänzt den Komfort in den eigenen vier Wänden. Ein Autoabstellplatz in der Tiefgarage (auf Wunsch mit Elektroladestation) kann optional für CHF 165.00 pro Monat dazu gemietet werden.Eingebettet zwischen den Hügeln Wolfensberg und Brüelberg bietet Wülflingen viel Natur und Lebensqualität. In weniger als 2 Minuten wird die Autobahn A1 Richtung Zürich und St. Gallen sowie die A4 Richtung Schaffhausen erreicht. Die gleichzeitige Nähe zum Stadtzentrum von Winterthur bildet zusammen mit dem Angebot an Erholung und genussvollen Aktivitäten eine unschlagbare Kombination!Haben wir Ihr Interesse geweckt? Weitere Mietangebote und Informationen fürHaus A und C finden Sie auf huegelraum.ch und für Haus B unter b2a-immo.ch "
1.5 Zimmer, 30m², CHF 5’180.– ;Winzerstrasse 103, 8049 Zürich;Einzigartige Attikawohnung mit grosser Terrasse;Einzigartige Attikawohnung mit grosser Terrasse Per sofort vermieten wir diese wunderschöne und einzigartige 1.5-Zimmer-Attikawohnung in Zürich-Höngg.Die Liegenschaft befindet sich in unmittelbarer Nähe der Limmat und der Werdinsel. Parkanlagen und Einkaufsmöglichkeiten sind zu Fuss in wenigen Minuten erreichbar.Der ÖV-Anschluss ist ideal, die Station Winzerstrasse nur wenige Schritte entfernt.Die Wohnung mit viel Liebe zum Detail zeichnet sich durch folgende Merkmale aus:- hochwertige Küche mit modernen Haushaltgeräten- offener, lichtdurchfluteter Wohn- und Essbereich- Korridor, Wohn- und Schlafzimmer Bodenbelag Anhydrit geschliffen- Badezimmer und sep. WC mit keramischen Platten und hochwertigen schwarzen Armaturen- eigenes Waschabteil (mit Keller kombiniert) im UG mit Waschmaschine, Secomat und Wäscheleinen, Tumbleranschluss- grosse und sonnige Terrasse mit 52.3m2 mit unschlagbarem Ausblick- Wandschränke für zusätzlichen StauraumHaben wir Ihr Interesse geweckt? Wir freuen uns auf Ihre Kontaktaufnahme. 
1.5 Zimmer, 120m², CHF 5’730.– ;Brandschenkestrasse 62, 8002 Zürich;Ihre Wohnoase mitten in Zürich;Ihre Wohnoase mitten in Zürich Wohnen an bester Lage in Zürich, auf dem Landolt Areal. In Fussdistanz erreichen Sie unterschiedlichste Läden, Freizeitanlagen, öffentliche und kulturelle Einrichtungen, die Bahnhöfe Enge und Selnau sowie die Sportanlage Sihlhölzli. Der Hauptbahnhof, Paradeplatz oder das Bellevue sind in wenigen Minuten mit den öffentlichen Verkehrsmitteln zu erreichen.Die helle Wohnung mit grosszügigem Grundriss zeigt sich harmonisch im Innenausbau mit edlen Materialien. Die Wohnung ist wie folgt aufgeteilt.Wohnräume / Zimmer • Bodenbeläge EIngang, Wohnen, Zimmer Schiffsbodenparkett Eiche gebürstet und naturgeölt • Wände verputzt gestrichen (weiss) • Spot Beleuchtung Wohn- und Essraum • Stoffstoren elektrisch • Zusätzlicher Abstellraum nebst Reduit Küche • Bulthaupt-Küche weiss • VZug Geräte, Induktionsherd, Backofen, Steamer, Geschirrspüler • grosszügige Verstauungsmöglichkeiten • Spot Beleuchtung Bad / Dusche • Wände und Böden in Naturstein Jura • Bad / WC Zugang aus Schlafzimmer • Dusche / WC separater Zugang • Spot Beleuchtung Reduit • Grosses Reduit mit Waschmaschine Tumbler VZug Loggia • Decke, Wände und Boden in Eiche geölt • Aussensteckdose • Beleuchtungskörper • Sonnenschutz elektrisch Ein Einstellplatz in der Tiefgarage kann für CHF 250.00 / Monat dazugemietet werden. Melden Sie sich bei uns, für einen unverbindlichen Besichtigungstermin. - Wir freuen uns auf Ihre Kontaktaufnahme! 
2.5 Zimmer, 140m², CHF 8’230.– ;Lyrenweg, 8047 Zürich;Haus: In der Stadt Zürich und doch idyllisch;Haus: In der Stadt Zürich und doch idyllisch Zu vermieten: Luxuriöses Einfamilienhaus in Zürich-Albisrieden-In der Stadt und doch idyllisch-Das charmante, vollständig sanierte Einfamilienhaus am Lyrenweg in Zürich-Albisrieden freut sich auf neue Bewohner.Das Haus liegt in einer ruhigen 30er Zone ohne Durchgangsverkehr und ist umgeben von anderen Einfamilienhäusern.Lage und UmgebungDas Haus in der Stadt Zürich profitiert von seiner Nähe zum Wald, der zu Spaziergängen, Velotouren und anderen Outdoor-Aktivitäten einlädt. Ein Spaziergang auf den Uetliberg ist direkt vom Haus aus möglich. Sportbegeisterte werden die Nähe zur Sportanlage Buchlern (Tennis, Fussball, Beachvolleyball u.a.) und zum Freibad Letzi schätzen, die beide in wenigen Minuten erreichbar sind.Die öffentlichen Verkehrsmittel (Tram 3, Bus 80, 67) sowie das Albisriederdörfli mit Migros, Coop, Denner und Restaurants sind in 3-4 Gehminuten erreichbar. Das Stadtzentrum ist mit dem ÖV in rund 20 Min., mit dem Motorrad, Velo, Auto in rund 11 Min. erreichbar. Ein Einkaufszentrum befindet sich im nahegelegenen Uetikon-Waldegg, nur 3 Autominuten entfernt. Der Autobahnanschluss Uetikon-Waldegg (Westumfahrung) und der Bahnhof Altstetten (Anschluss auf den Flughafen) sind beide in 7 Minuten erreichbar.Das HausDas einseitig angebaute Haus wurde 2019/2020 neugestaltet und vollständig saniert. Es bietet auf einer Wohnfläche von rund 140 m2 eine optimale Raumaufteilung ausgestattet mit edlen Bodenbelegen, eine topmoderne Küche sowie zwei Nasszellen. Zudem verfügt das Haus über eine integrierte Garage sowie einen Disporaum. Ein schöner, pflegeleichter Garten (115 m2) in Südlage runden das Angebot ab.Das Haus bietet viel Freude und Platz, ideal für einen zwei bis drei Personenhaushalt.RaumaufteilungDas Wohnen findet auf zwei Ebenen statt. Auf der Ebene Garten befinden sich zwei Schlafzimmer, ein helles Wohnzimmer, eine offene Küche mit Topgeräten, ein Essplatz, ein Badezimmer mit Regenbogendusche und ein offener Eingangsbereich. Das Wohnzimmer sowie der Essplatz und der Gartensitzplatz mit Rasenfläche sind nach Süden ausgerichtet und bieten viel Sonne. Der Gartensitzplatz lädt zum Grillen und Entspannen ein. Gartenliebhaber haben ausreichend Platz, um Blumen zu pflanzen oder einen Gewürzgarten anzulegen.In der unteren Etage befinden sich zwei helle Zimmer mit Verbindungstür (die Räume können als Schlafzimmer, Ankleidezimmer, Büro, Fitnessraum, Atelier etc. genutzt werden), ein Bad mit Regenbogendusche, eine Waschküche und eine Garage. Der Vorplatz bietet zusätzliche Parkmöglichkeiten im Freien.Der Dachboden mit Fenster, der über den Eingangsbereich im Erdgeschoss zu erreichen ist, bietet umfangreichen Stauraum.Für weitere Informationen oder zur Vereinbarung eines Besichtigungstermins kontaktieren Sie uns bitte. Wir freuen uns auf Ihre Anfrage. 
1.5 Zimmer, 28m², CHF 2’760.– ;Alte Horgenbachstrasse 11, 8548 Ellikon an der Thur;Wohnen in der Bruggwisen-Überbauung;Wohnen in der Bruggwisen-Überbauung Bruggwisen.ch ? eine Wohlfühloase mit parkähnlichem Charakter, die sich harmonisch in die grüne Umgebung einfügt. Die Architektur einschliesslich der Umgebungsplanung schaffen Behaglichkeit und machen die Überbauung zu einem hochwertigen Wohn- und Lebensraum.Vier Mehrfamilienhäuser mit 56 Mietwohnungen jeweils aufgeteilt in 2½- bis 4½-Zimmer-Wohnungen bieten stilvollen Wohnraum in idyllischer Atmosphäre. Die Mietwohnungen überzeugen mit modernstem Komfort und grosszügig konzipierten Grundrissen, die den Wohnungen Charakter verleihen. Gemütliche Aussenbereiche laden zum Verweilen ein. Die Erholung in der unmittelbaren Umgebung vereint mit der Nähe zu den Städten Winterthur, Frauenfeld, Zürich und St. Gallen runden das attraktive Angebot im gehobenen Wohnsegment ab. Weitere Infromationen finden Sie auf der Projekthomepage www.bruggwisen.ch.Die Fotos entsprechen einer Wohnung ähnlichen Types und können vom Grundriss her abweichen.Für detaillierte Auskünfte oder eine Wohnungsbesichtigung steht Ihnen Herr Emir Mulahmetovic, Tel. +41 71 844 06 87 gerne zur Verfügung. 
